#---------------------------------------------------------------
# ファイル個別ゲイン補正定義ファイル
#---------------------------------------------------------------
#※この定義ファイルを有効にするには
#  Config.tjsの「@set (SOUNDGAIN_ENABLED=?)」の「?」の部分を1にしてください（0で無効）
#
#凡例:
#ファイル名,ゲイン(db)
#ファイル名*,ゲイン(db)
#
# ファイル単位でゲイン調整できます。サウンド区分より優先的に作用します(= soundgain.csvで定義されているゲイン値を上書きします)
# ワイルドカード指定は末尾にのみ適用可能で，最長マッチされた定義が採用されます。
# なお実装の都合により，既存のサウンドゲインがある場合は，それに対してゲイン値が加算されて反映されます。
# 具体例：
#hogefuga,+1
#hoge*,-2
#h*,+3
#⇒hogefuga は hogefuga 定義にマッチし，hoge* 定義にもマッチするので，+1-2=-1がゲイン値として適用（最長マッチのため h* は適用外）
# 
#---------------------------------------------------------------

#♪コンビニチャイム,-6
■朝チュン,-6
■環境音(朝),-6
■駅前,-3
■教室,-3
■異世界街？,-3
▽ドア閉める／自室,-2
▽ドア閉める／部屋,-3
♪LIENメッセージ１,-3
♪LIENメッセージ２,-3

ama_211_00*,+3
ama_211_008*,-3

ama_211_0087,+3
ama_211_0088,+3
ama_211_0089,+3
ama_211_0090,-6
ama_211_0098,0
ama_211_0099,0

kur_202_*,+4
kur_204_*,+4
kur_315_*,+2
kur_316_*,+2
kur_318_*,+3
kur_319_*,+3
kur_32*,+3
kur_4*,+3
kur_5*,+3

kag_2*,-3
kag_408_*,+2
kag_417_*,+3
kag_418_*,+3
kag_419_*,+3
#kag_420_*,+3
kag_5*,-3
kag_606_*,-3

sur_3*,+4
sur_32*,+4

ori_208_*,+3
ori_209_*,+3
ori_21*,+3

clr_416_*,+6

mao_303_*,+3

kur_009_0117,-6
kur_322_0006,-6
sur_205_0017,-6

gotou_212_0001,-8

joa_212_0001,-6
job_212_0001,-6
joc_212_0001,-6

BGM01,-9
BGM02,-9
BGM03,-9
BGM04,-7
BGM05,-6
BGM06,-3
BGM07,-3
BGM08,-3
BGM09,-3
BGM10,-3
BGM19,-3

BGM51,-3
BGM61,-3
BGM52,-3
BGM62,-3
BGM53,-4
BGM63,-9
BGM54,-4
BGM64,-7
BGM55,-3
BGM65,-4
BGM56,-4
BGM66,-3

BGM11,-2
BGM12,-3
BGM13,
BGM14,-9
BGM15,-3

BGM24,-3
BGM25,-3
BGM18,-3
BGM31,-3
BGM21,-3
BGM22,-3
BGM23,-7
BGM27,-7
BGM26,-6
BGM28,-6
BGM32,-4
BGM36,-3
BGM35,-4
BGM33,-6
BGM34,-5
BGM37,-4
BGM29,-6
BGM30,-3
BGM47,-3
BGM48,-3
BGM49,-3
BGM38,-3
BGM20,-3

BGM50,-6

SongOP
SongED1
SongED2
SongED3
SongED4
SongED5
SongED6

BGM17,-2

BGM91,-4


