#---------------------------------------------------------------
# サウンド区分別ゲイン補正定義ファイル
#---------------------------------------------------------------
#※この定義ファイルを有効にするには
#  Config.tjsの「@set (SOUNDGAIN_ENABLED=?)」の「?」の部分を1にしてください（0で無効）
#
#凡例:
#　　　区分名,ゲイン(db)
#
# 区分名で指定可能なもの
#   キャラ名（ボイス区分定義名）
#   world でのクラス名 bgm とか se とか
#   ボリューム名 voice, bgm, se など
#
# ゲインはdb単位です（小数点指定可）：0で等倍、6.0で体感音量が2倍、-6.0 で 1/2 になります
# あげすぎると音が割れるので注意して下さい
#
#---------------------------------------------------------------
#※各定義を有効にする場合は行頭の「#」のコメントを削除してから編集してください
#bgm,-3
#se,0

来海,+1
かぐ耶,+3
風実花,-3
木下,-3
由月,-2
クラヴィ,-4
魔王,-3

月乃,-3
迷子の女の子,-3
五島,-4
第一王子,-2

井上,-6
女子クラスメイト１,-3
女子クラスメイト２,-4
男子クラスメイト１,-6
男子クラスメイト２,-6
来海の母,-6
店員,-7
異世界人Ａ,-3
異世界人Ｂ,-3
異世界人Ｃ,-3
異世界人Ｅ,-3
女子Ａ,-6
女子Ｂ,-6
女子Ｃ,-6
住人Ａ,-5
住人Ｂ,-5
住人Ｃ,-3
住人Ｄ,-5
刺客Ａ,-6
刺客Ｂ,-5
刺客Ｃ,-4
刺客の男,-3
大臣,-1
議長,-1

