# アイキャッチ鑑賞用
as_eyecatch_noa0,ec__logo_dot|ec_noa.pimg,seton,0:open:base:共通ロゴ
as_eyecatch_noa1,ec__logo_dot|ec_noa.pimg,seton,1:open:base:共通ロゴ:ドット
as_eyecatch_noa2,ec__logo_dot|ec_noa.pimg,seton,2:open:base:共通ロゴ:ドット
as_eyecatch_noa3,ec__logo_dot|ec_noa.pimg,seton,3:open:base:共通ロゴ:ドット
as_eyecatch_noa4,ec__logo_dot|ec_noa.pimg,seton,4:open:base:共通ロゴ:ドット
as_eyecatch_noa5,ec__logo_dot|ec_noa.pimg,seton,5:open:base:共通ロゴ:ドット
as_eyecatch_noa6,ec__logo_dot|ec_noa.pimg,seton,6:open:base:共通ロゴ:ドット
as_eyecatch_ama0,ec__logo_dot|ec_ama.pimg,seton,0:open:base:共通ロゴ
as_eyecatch_ama1,ec__logo_dot|ec_ama.pimg,seton,1:open:base:共通ロゴ:ドット
as_eyecatch_ama2,ec__logo_dot|ec_ama.pimg,seton,2:open:base:共通ロゴ:ドット
as_eyecatch_ama3,ec__logo_dot|ec_ama.pimg,seton,3:open:base:共通ロゴ:ドット
as_eyecatch_ama4,ec__logo_dot|ec_ama.pimg,seton,4:open:base:共通ロゴ:ドット
as_eyecatch_ama5,ec__logo_dot|ec_ama.pimg,seton,5:open:base:共通ロゴ:ドット
as_eyecatch_ama6,ec__logo_dot|ec_ama.pimg,seton,6:open:base:共通ロゴ:ドット
as_eyecatch_kur0,ec__logo_dot|ec_kur.pimg,seton,0:open:base:共通ロゴ
as_eyecatch_kur1,ec__logo_dot|ec_kur.pimg,seton,1:open:base:共通ロゴ:ドット
as_eyecatch_kur2,ec__logo_dot|ec_kur.pimg,seton,2:open:base:共通ロゴ:ドット
as_eyecatch_kur3,ec__logo_dot|ec_kur.pimg,seton,3:open:base:共通ロゴ:ドット
as_eyecatch_kur4,ec__logo_dot|ec_kur.pimg,seton,4:open:base:共通ロゴ:ドット
